Time,NodeId,Delay
1.11584,36,0.0300839
1.1458,403,0.0299634
1.17364,36,0.0878859
1.17523,36,0.0894697
1.18491,36,0.0561196
1.20194,36,0.0753718
1.23303,36,0.147272
1.23461,36,0.148856
1.23505,36,0.0615979
1.2362,36,0.150439
1.23778,36,0.152023
1.24424,402,0.0593264
1.25741,400,0.05547
1.26297,403,0.147127
1.26455,403,0.0909086
1.26506,36,0.0632804
1.27792,36,0.0780832
1.29291,36,0.20715
1.29449,36,0.208733
1.29601,406,0.0609595
1.29607,36,0.210317
1.29694,36,0.168151
1.29766,36,0.211901
1.29924,36,0.213485
1.29968,36,0.170884
1.30083,36,0.215069
1.32287,403,0.149227
1.32445,403,0.149227
1.32618,403,0.150956
1.32777,403,0.0947377
1.32819,408,0.0631341
1.33061,36,0.204046
1.33222,36,0.205655
1.33519,36,0.101577
1.34131,36,0.11558
1.35071,36,0.264952
1.35229,36,0.266535
1.35273,36,0.179278
1.35388,36,0.268119
1.35546,36,0.269703
1.35574,405,0.0778247
1.35589,36,0.182445
1.35719,36,0.271432
1.35842,36,0.0971995
1.35877,36,0.273016
1.36036,36,0.2746
1.36194,36,0.276183
1.36367,36,0.277912
1.36525,36,0.279496
1.36684,36,0.28108
1.36842,36,0.282664
1.38586,403,0.152828
1.38744,403,0.152828
1.38902,403,0.154412
1.38906,36,0.187282
1.39061,403,0.154412
1.39071,36,0.188933
1.39248,403,0.156286
1.39407,403,0.156286
1.39565,403,0.157869
1.39723,403,0.104327
1.40851,36,0.322754
1.41009,36,0.324338
1.41168,36,0.325921
1.41211,36,0.28332
1.41326,36,0.327505
1.41426,36,0.285465
1.41485,36,0.329089
1.41643,36,0.330673
1.41686,36,0.288072
1.41801,36,0.332257
1.41936,36,0.290565
1.41979,36,0.334032
1.42118,36,0.335424
1.42277,36,0.337008
1.42449,36,0.338737
1.42608,36,0.340321
1.42766,36,0.341905
1.42925,36,0.343488
1.43063,36,0.230798
1.43083,36,0.345072
