Time,Hops
1.90631,2
1.90692,7
1.90721,2
1.90756,5
1.91043,2
1.91107,2
1.91124,2
1.9114,2
1.91265,2
1.91365,2
1.91423,2
1.91463,5
1.91582,2
1.91727,2
1.91743,2
1.91746,5
1.91898,2
1.91918,2
1.9203,5
1.92057,2
1.92109,2
1.92289,2
1.923,2
1.92313,5
1.92373,2
1.92485,3
1.92491,2
1.92551,2
1.92596,5
1.92682,2
1.9269,2
1.92849,2
1.92872,2
1.92879,5
1.93018,2
1.93063,2
1.93068,3
1.93081,2
1.93098,2
1.93116,2
1.93162,5
1.93165,2
1.93307,2
1.93324,2
1.9339,1
1.93446,5
1.93472,5
1.93482,2
1.93497,2
1.93498,5
1.93505,3
1.93524,5
1.9364,2
1.93688,2
1.93799,2
1.93879,2
1.93957,2
1.94015,3
1.94041,5
1.9407,2
1.94116,2
1.94261,2
1.94316,2
1.94324,5
1.94432,2
1.94452,2
1.94524,3
1.94607,5
1.94618,2
1.94643,2
1.9466,2
1.94678,2
1.94695,2
1.94713,2
1.94749,2
1.9489,5
1.94908,2
1.95066,2
1.9507,3
1.9515,3
1.95174,5
1.95224,2
1.95383,2
1.95457,5
1.9548,3
1.95541,2
1.95559,3
1.95573,1
1.95699,2
1.9574,5
1.95758,1
1.9581,3
1.95893,2
1.95943,1
1.96016,2
1.96023,5
1.96049,5
1.96054,3
1.96075,5
1.96101,5
1.96127,5
1.96128,1
1.9614,3
1.96175,2
1.96314,1
1.96333,2
1.96499,1
1.96531,3
1.9654,2
1.96557,2
1.96668,3
1.96684,1
1.96696,3
1.96715,2
1.96861,3
1.9687,1
1.96874,2
1.9689,2
1.96907,2
1.96923,3
1.96948,2
1.96981,2
1.97026,3
1.97178,3
1.97188,2
1.97191,3
1.97205,2
1.97356,3
1.97375,2
1.97433,3
1.97521,3
1.97524,2
1.97533,2
1.97686,3
1.97688,3
1.97692,2
1.97701,3
1.97716,3
1.97731,3
1.9785,2
1.97943,3
1.97966,3
1.98009,2
1.98032,3
1.98106,2
1.98167,2
1.98197,3
1.98221,3
1.98325,2
1.98362,3
1.98394,2
1.98476,3
1.98484,2
1.98527,3
1.98642,2
1.98682,2
1.98692,3
1.98731,3
1.988,2
1.98857,3
1.98959,2
1.9897,2
1.98986,3
1.98997,2
1.99022,3
1.99023,2
1.99117,2
1.99187,3
1.99202,3
1.99217,3
1.99232,3
1.99241,3
1.99247,3
1.99276,2
1.99292,2
1.99309,2
1.99311,2
1.99325,2
1.99342,2
1.99359,2
1.99496,3
1.99517,2
1.99534,2
1.9955,2
1.99567,2
1.99586,2
1.99599,2
1.99605,2
1.99623,2
1.99642,2
1.99661,2
1.9968,2
1.99699,2
1.99751,3
1.99791,2
1.99888,2
1.99922,2
2.00006,3
2.0003,3
2.0008,2
2.00176,2
2.00202,2
2.00229,2
2.00271,2
2.00285,3
2.00397,2
2.0054,3
2.00563,3
2.00586,3
2.00598,2
2.0061,3
2.00633,3
2.00656,3
2.00714,2
2.00872,2
2.00969,3
2.01066,2
2.01122,5
2.01189,2
2.01288,3
2.01347,2
2.01506,2
2.01543,3
2.01688,2
2.01689,5
2.01798,3
2.01831,2
2.01981,2
2.02053,3
2.02139,2
2.02255,5
2.02308,3
2.02341,2
2.02456,2
2.02563,3
2.02614,2
2.02773,2
2.02818,3
2.02842,5
2.03015,2
2.03073,3
2.03149,2
2.03248,2
2.03328,3
2.03388,5
2.03428,2
2.03429,4
2.03583,3
2.03742,2
2.0375,2
2.03761,2
2.0378,2
2.03838,3
2.03874,4
2.03882,2
2.03986,5
2.04071,2
2.04093,3
2.04187,2
2.04208,2
2.04238,3
2.04263,4
2.04299,4
2.04348,3
2.04393,2
2.0441,2
2.04467,3
2.04518,2
2.04521,5
2.04603,3
2.04677,2
2.0468,3
2.04688,4
2.047,3
2.04715,2
2.04835,2
2.04858,3
2.04913,3
2.04993,2
2.05037,2
2.05078,4
2.05088,5
2.05113,3
2.05114,4
2.05126,3
2.05136,3
2.05145,3
2.05159,3
2.05183,3
2.05193,2
2.05206,3
2.05229,3
2.05253,3
2.05276,3
2.0531,2
2.05359,2
2.05477,2
2.05659,2
2.0568,2
2.05685,3
2.05785,2
2.058,5
2.05944,2
2.06043,2
2.06084,5
2.06102,2
2.06139,3
2.06234,2
2.0626,2
2.06367,5
2.06424,2
2.06425,2
2.06609,2
2.06615,2
2.06649,3
2.0665,5
2.06735,2
2.06806,2
2.06933,5
2.06936,2
2.06997,2
2.07015,2
2.07052,2
2.07162,3
2.07206,2
2.07217,5
2.07219,2
2.07243,5
2.07369,2
2.07396,2
2.07526,5
2.07527,2
2.07587,2
2.07697,3
2.07699,2
2.07715,3
2.07778,2
2.07809,5
2.07854,2
2.07969,2
2.08045,3
2.08092,5
2.0816,2
2.08179,3
2.08351,2
2.08355,2
2.08375,3
2.08375,5
2.08376,2
2.08396,2
2.08542,2
2.08559,2
2.08561,2
2.08659,5
2.0867,2
2.08689,3
2.08705,3
2.0875,2
2.08794,2
2.08941,2
2.08942,5
2.08958,2
2.08976,2
2.08993,2
2.08996,2
2.09011,2
2.09028,2
2.09035,3
2.09046,2
2.09111,2
2.09199,3
2.09225,5
2.09236,2
2.09339,2
2.09365,3
2.09427,2
2.09428,2
2.09508,5
2.09534,5
2.09586,2
2.09618,2
2.09712,3
2.09731,3
2.09745,2
2.09809,2
2.09818,5
2.09903,2
2.1,2
2.10026,3
2.10086,2
2.10101,5
2.10191,2
2.10231,3
2.10249,2
2.10378,2
2.10382,2
2.10384,5
2.10416,3
2.10537,2
2.10572,2
2.10581,3
2.10667,5
2.10695,2
2.10729,3
2.10746,3
2.10763,2
2.10853,2
2.10911,3
2.10951,5
2.10954,2
2.11014,2
2.11076,3
2.11145,2
2.1117,2
2.11234,5
2.11239,3
2.11242,3
2.11257,3
2.1126,5
2.11286,5
2.11312,5
2.11329,2
2.11336,2
2.11337,5
2.11363,5
2.11389,5
2.11422,3
2.11502,2
2.11527,2
2.11587,3
2.11645,2
2.11673,5
2.11718,2
2.11752,3
2.11772,3
2.11833,2
2.11908,2
2.11917,3
2.11956,5
2.11962,2
2.12082,3
2.12099,2
2.12117,2
2.1212,2
2.12134,2
2.12152,2
2.12169,2
2.12187,2
2.12204,2
2.12222,2
2.12239,5
2.12247,3
2.12279,2
2.1229,3
2.12412,3
2.12437,2
2.12508,2
2.12522,5
2.12577,3
2.12592,3
2.12635,2
2.12754,2
2.12757,3
2.12769,3
2.12806,5
2.12919,2
2.12922,3
2.12937,3
2.12952,3
2.12967,3
2.12983,3
2.12998,3
2.13071,2
2.13084,2
2.13089,5
2.13207,3
2.13237,2
2.13279,3
2.13372,5
2.13388,2
2.13433,3
2.13546,2
