Time,Bytes
1.06114,58
1.08576,58
1.12657,58
1.12879,58
1.1437,54
1.1458,590
1.17345,58
1.17459,58
1.19983,58
1.20178,58
1.20309,54
1.22573,58
1.23361,58
1.24106,54
1.24424,590
1.25539,54
1.25741,590
1.26122,58
1.26297,590
1.26455,590
1.2647,54
1.27684,54
1.28037,590
1.29174,54
1.29601,590
1.32077,54
1.32287,590
1.32445,590
1.3246,54
1.32593,54
1.32618,590
1.32777,590
1.32791,54
1.32819,590
1.35281,54
1.35574,590
1.35582,54
1.37857,54
1.38174,54
1.38567,54
1.38586,590
1.38744,590
1.38902,590
1.39061,590
1.39075,54
1.3909,54
1.39248,590
1.39407,590
1.39565,590
1.39723,590
1.39738,54
1.39752,54
1.398,54
1.40227,590
1.41259,54
1.43196,54
1.43641,590
1.43796,54
1.44113,54
1.44429,54
1.44765,54
1.44911,54
1.45112,590
1.45158,54
1.4527,590
1.45429,590
1.45555,54
1.45587,590
1.45674,590
1.45746,590
1.45785,590
1.45904,590
1.46062,590
1.46221,590
1.46235,54
1.4625,54
1.46264,54
1.46554,590
1.46713,590
1.46871,590
1.4703,590
1.47143,590
1.47188,590
1.47346,590
1.47398,590
1.47421,54
1.47505,590
1.47663,590
1.47678,54
1.47692,54
1.47707,54
1.47721,54
1.49734,54
1.50051,54
1.50359,590
1.50368,54
1.50544,590
1.50685,54
1.50841,54
1.51031,54
1.51318,54
1.51635,54
1.51636,590
1.51827,590
1.51845,54
1.51952,54
1.52318,590
1.52476,590
1.52634,590
1.52793,590
1.52951,590
1.5311,590
1.53124,54
1.53282,590
1.53441,590
1.53446,590
1.53599,590
1.53729,590
1.53755,54
1.53758,590
1.53916,590
1.54074,590
1.54233,590
1.54391,590
1.54406,54
1.54564,590
1.54722,590
1.54737,54
1.54751,54
1.54766,54
1.5478,54
1.54795,54
1.55004,54
1.55215,590
1.55373,590
1.55531,590
1.5569,590
1.55848,590
1.56006,590
1.56165,590
1.56323,590
1.56482,590
1.5664,590
1.56798,590
1.56957,590
1.57115,590
1.57273,590
1.57432,590
1.5759,590
1.57605,54
1.57619,54
1.57634,54
1.57648,54
1.57663,54
1.57677,54
1.57692,54
1.57784,590
1.57899,54
1.57949,590
1.57964,54
1.58216,54
1.58346,54
1.58532,54
1.58664,590
1.58849,54
1.58919,590
1.58943,54
1.59166,54
1.59198,590
1.59453,590
1.59476,54
1.59483,54
1.59799,54
1.60116,54
1.60433,54
1.6075,54
1.61066,54
1.61383,54
1.617,54
1.62017,54
1.62409,54
1.62439,54
1.62652,54
1.63005,54
1.63193,590
1.63351,590
1.63385,54
1.63509,590
1.63524,54
1.6371,590
1.63868,590
1.64027,590
1.64041,54
1.64315,590
1.64473,590
1.64504,54
1.64632,590
1.64706,590
1.6479,590
1.64897,590
1.64914,54
1.64948,590
1.65105,590
1.65107,590
1.65181,54
1.65208,54
1.65265,590
1.65296,590
1.65313,54
1.65423,590
1.65438,54
1.65452,54
1.65611,590
1.65625,54
1.65635,590
1.65784,590
1.65798,54
1.65905,54
1.65918,590
1.65944,54
1.66222,54
1.66227,590
1.66405,590
1.66511,590
1.66537,54
1.66538,54
1.66693,590
1.6672,54
1.66855,54
1.67172,54
1.6752,54
1.67529,54
1.67808,54
1.68122,54
1.68439,54
1.68756,54
1.69124,590
1.69283,590
1.69441,590
1.69568,54
1.69599,590
1.69758,590
1.69916,590
1.70059,54
1.70075,590
1.70184,54
1.70233,590
1.70391,590
1.70411,590
1.7055,590
1.70576,590
1.70591,54
1.70678,590
1.70708,590
1.70756,590
1.70785,54
1.70866,590
1.70921,590
1.70933,590
1.70936,54
1.71025,590
1.71183,590
1.71188,590
1.71342,590
1.71443,590
1.71466,54
1.71489,54
1.715,590
1.71514,54
1.71673,590
1.71687,54
1.71702,54
1.71716,54
1.71731,54
1.71744,590
1.71745,54
1.7176,54
1.71999,590
1.72025,54
1.72254,590
1.72342,54
1.72509,590
1.72533,54
1.72556,54
1.72658,54
1.72968,590
1.72975,54
1.73153,590
1.73292,54
1.73338,590
1.73524,590
1.73609,54
1.73926,54
1.74242,54
1.74559,54
1.74876,54
1.75193,54
1.75509,54
1.75857,54
1.76297,54
1.7646,54
1.76776,54
1.7701,54
1.77093,54
1.77371,54
1.7741,54
1.77538,54
1.77693,54
1.77727,54
1.78043,54
1.78059,590
1.78248,590
1.7825,590
1.7836,54
1.78441,590
1.78531,590
